hash,author,date,description
67e4600,romainx,Thu Sep 17 04:51:44 2020 +0200,Merge branch 'spark_3_0_1' of https://github.com/romainx/docker-stacks into spark_3_0_1
8cd98a1,romainx,Thu Sep 17 04:48:02 2020 +0200,Fixes #1161
a4c467e,romainx,Thu Sep 17 04:48:02 2020 +0200,Fixes #1160
39dc775,romainx,Thu Sep 10 20:00:24 2020 +0200,Fixed test test_cli_args
384acda,romainx,Thu Sep 10 15:25:00 2020 +0200,Spark 3.0.1 -> fixes #1156
6d42503,Romain,Wed Aug 26 18:49:08 2020 +0200,Merge pull request #1152 from jgwerner/fix/update-start-gid
e95f3c5,Greg,Thu Aug 20 20:19:39 2020 -0400,add -f option with groupadd
b2562c4,Romain,Thu Aug 20 20:19:34 2020 +0200,Merge pull request #1151 from chancez/update_notebook_version
a1e40fa,Chance Zibolski,Thu Aug 20 09:22:05 2020 -0700,base-notebook: Update notebook to 6.1.3 and jupyterlab to 2.2.5
f200ab9,Romain,Wed Aug 19 18:48:46 2020 +0200,Merge pull request #1149 from ImreSamu/julia_1_5_0
cfbc0c3,ImreSamu,Tue Aug 18 15:02:47 2020 +0200,update to julia 1.5.0
3cba293,GitHub Actions,Mon Aug 17 03:45:10 2020 +0000,[ci skip] Automated publish for 13b866ff67b9a9ae1e3b5d409f4c614a3af7221f
13b866f,Romain,Mon Aug 17 05:44:28 2020 +0200,Merge pull request #1145 from romainx/spark_version
7d0e50e,Romain,Sun Aug 16 21:10:56 2020 +0200,Merge pull request #1146 from romainx/fix_examples
3f189ef,Ayaz Salikhov,Sun Aug 16 20:06:16 2020 +0300,Fix
530e2b3,Ayaz Salikhov,Sun Aug 16 20:02:40 2020 +0300,Merge branch 'master' into asalikhov/py_codestyle
c288e77,romainx,Sun Aug 16 17:03:10 2020 +0200,Fix debug line commented
ba4b59d,romainx,Sun Aug 16 10:24:24 2020 +0200,Resolve Docker lint (hadolint) errors
8669d6e,romainx,Sat Aug 15 20:19:35 2020 +0200,Resolves #1131: Allow alternative Spark version
9b87b16,Peter Parente,Sun Aug 9 12:46:50 2020 -0400,Merge pull request #1144 from parente/debug-wiki-push
84b7e4b,Peter Parente,Sun Aug 9 12:43:40 2020 -0400,Fix GITHUB_REPOSITORY value
7e2f380,Peter Parente,Sun Aug 9 11:49:17 2020 -0400,Merge pull request #1143 from parente/debug-wiki-push
4c2cbe5,Peter Parente,Sun Aug 9 11:46:52 2020 -0400,Debug info for wiki push failure
f181192,Peter Parente,Sun Aug 9 00:02:08 2020 -0400,Fix missing bash continuation
edf81a1,Peter Parente,Sun Aug 9 00:00:59 2020 -0400,Merge pull request #1142 from parente/fix-wiki-upstream
a3a9259,Peter Parente,Sat Aug 8 23:59:51 2020 -0400,Fix git-commit upstream
01978d2,Peter Parente,Sat Aug 8 15:10:25 2020 -0400,Merge pull request #1141 from parente/update-dhub-readmes
1031477,Peter Parente,Sat Aug 8 14:33:56 2020 -0400,[ci skip] Update READMEs visible on Docker Hub
58a8917,GitHub Actions,Sat Aug 8 19:06:23 2020 +0000,[ci skip] Automated publish for 24da256d4ed9a9606923432206d67767772c2bc9
24da256,Peter Parente,Sat Aug 8 15:05:40 2020 -0400,Merge pull request #1123 from romainx/pre-commit
4b07fcd,Peter Parente,Sat Aug 8 15:05:05 2020 -0400,Merge pull request #1134 from maresb/patch-1
455e10b,Peter Parente,Sat Aug 8 14:23:34 2020 -0400,Merge branch 'master' into pre-commit
a4d48ea,Peter Parente,Sat Aug 8 14:20:06 2020 -0400,Merge pull request #1138 from parente/fix-wiki-commit
006de91,Peter Parente,Sat Aug 8 14:18:43 2020 -0400,Fix YAML syntax (take 1)
7953f67,Peter Parente,Sat Aug 8 14:16:26 2020 -0400,Support ci skip in PRs
a7d6d76,Peter Parente,Sat Aug 8 14:06:23 2020 -0400,[ci skip] Fix wiki commit step use single shell session
795a0bb,Peter Parente,Fri Aug 7 23:38:23 2020 -0400,Merge pull request #1137 from parente/test-gh-actions
68c4a6d,GitHub Actions,Fri Aug 7 23:36:16 2020 -0400,Fix git-commit var syntax
db4c286,Peter Parente,Fri Aug 7 23:29:36 2020 -0400,Merge pull request #1136 from parente/test-gh-actions
01013cf,Peter Parente,Fri Aug 7 23:12:47 2020 -0400,Combine jobs within workflows
63fdb96,Peter Parente,Fri Aug 7 22:53:36 2020 -0400,Merge pull request #1135 from parente/test-gh-actions
06ade94,Peter Parente,Fri Aug 7 22:21:01 2020 -0400,Use latest recommonmark
3fd1af5,Peter Parente,Fri Aug 7 22:20:51 2020 -0400,Remove extra quote
9f5c9b7,Peter Parente,Fri Aug 7 22:09:14 2020 -0400,Fix push -> pull_request event triggers
95f792c,Peter Parente,Fri Aug 7 21:56:05 2020 -0400,Travis -> GitHub Actions in doc
2db6171,Peter Parente,Fri Aug 7 21:45:48 2020 -0400,Merge pull request #1132 from parente/github-actions
81131ff,Ben Mares,Thu Aug 6 10:33:02 2020 +0200,Pandas to 1.1
3ef53ce,Peter Parente,Sat Aug 1 00:13:04 2020 -0400,Merge branch 'master' into github-actions
5758b59,Peter Parente,Sat Aug 1 00:12:07 2020 -0400,Fix SOURCE_COMMIT -> GITHUB_SHA references
1a66dd3,Peter Parente,Sat Aug 1 00:09:16 2020 -0400,Merge pull request #1130 from FASTGenomics/master
acb5399,Peter Parente,Thu Jul 30 08:26:01 2020 -0400,Merge pull request #1127 from mathbunnyru/asalikhov/update_packages
61b4303,Peter Parente,Thu Jul 30 08:25:29 2020 -0400,Remove travis config
2adaaef,Peter Parente,Thu Jul 30 07:55:25 2020 -0400,Merge branch 'master' into asalikhov/update_packages
8431b34,Peter Parente,Wed Jul 29 16:48:28 2020 -0400,Push images git changes
d2cb805,Peter Parente,Wed Jul 29 16:43:07 2020 -0400,Clean up hook debugs leftovers
0f1ebea,Peter Parente,Tue Jul 28 23:04:16 2020 -0400,Fix missing container wait in test
29deff6,Peter Parente,Tue Jul 28 22:51:47 2020 -0400,TODOs ci skip check
76af1fd,Peter Parente,Tue Jul 28 21:41:47 2020 -0400,Separate main wiki paths
34e73d4,Peter Parente,Tue Jul 28 15:42:30 2020 -0400,Refactor wiki hooks for Actions
99b02d3,Peter Parente,Mon Jul 27 17:15:50 2020 -0400,Run sphinx build
3dd0c32,Peter Parente,Sun Jul 26 21:57:59 2020 -0400,Draft initial configs
bf39616,Romain,Fri Jul 24 05:14:49 2020 +0200,documentation
7b43439,Ayaz Salikhov,Sun Jul 12 22:02:34 2020 +0200,Do not install python-dev
bbd4217,Romain,Tue Jul 21 21:49:23 2020 +0200,Merge branch 'master' into pre-commit
17cdb90,Romain,Tue Jul 21 21:45:36 2020 +0200,Changes following review
0f7d39c,Benedikt Reiz,Tue Jul 21 10:23:42 2020 +0200,Merge branch 'master' into master
b90cce8,Peter Parente,Mon Jul 20 12:25:10 2020 -0400,Merge pull request #1125 from mathbunnyru/asalikhov/u20_0703
57df73a,Benedikt Reiz,Thu Jul 16 11:31:30 2020 +0200,Removed optional texlive-fonts-extra
bf2cabc,Ayaz Salikhov,Mon Jul 13 21:25:04 2020 +0200,Update scipy-notebook packages
ec31300,Ayaz Salikhov,Sun Jul 12 21:55:55 2020 +0200,Update ubuntu image
ea01ec4,Peter Parente,Sun Jul 12 15:40:26 2020 -0400,Merge pull request #1120 from Bidek56/miniconda-4.8.3
2ef14d5,Peter Parente,Sun Jul 12 15:39:31 2020 -0400,Merge pull request #1122 from HarryWeppner/no-such-user
e2e1399,Romain,Sat Jul 11 17:06:00 2020 +0200,pre-commit hook added + minor fixes
2dd822d,Harry Weppner,Mon Jul 6 18:14:04 2020 -0700,suppress "id: jovyan: no such user" message during start
9441d44,Darek,Sun Jul 5 14:55:37 2020 +0000,Upgrading based Ubuntu miniconda and jupyterlab
5197709,Peter Parente,Sat Jul 4 17:25:36 2020 -0400,Merge pull request #1117 from chrisgorgo/master
e28a197,Ayaz Salikhov,Sat Jul 4 20:33:55 2020 +0200,Fix
95ef61e,Ayaz Salikhov,Sat Jul 4 19:15:26 2020 +0200,Fix
439f055,Ayaz Salikhov,Sat Jul 4 19:11:16 2020 +0200,Fix
b1e4688,Ayaz Salikhov,Sat Jul 4 19:06:21 2020 +0200,Add automatic checks
94cd03d,Ayaz Salikhov,Thu Jun 25 19:44:20 2020 +0200,Fix python codestyle
229c7fe,Peter Parente,Sat Jul 4 10:09:58 2020 -0400,Merge pull request #1115 from Bidek56/miniconda-py38
5ae4de6,Peter Parente,Fri Jun 26 12:44:38 2020 -0400,Merge branch 'master' into master
391fdcc,Peter Parente,Fri Jun 26 12:43:50 2020 -0400,Merge branch 'master' into miniconda-py38
5446280,Travis CI,Thu Jun 25 12:26:52 2020 +0000,[ci skip] Update en source strings (build: 1850.1)
1ea635f,Peter Parente,Thu Jun 25 08:25:14 2020 -0400,Merge pull request #1105 from ttimbers/r4.0
47d6c62,chrisgorgo,Tue Jun 23 19:01:47 2020 -0700,Updating sklearn to version 0.23
6939527,Tiffany A. Timbers,Sun Jun 21 21:55:28 2020 -0700,Update all-spark-notebook/Dockerfile
6024c32,ttimbers,Sun Jun 21 21:53:23 2020 -0700,reverting ending on a newline
cdfe98a,ttimbers,Sun Jun 21 21:48:22 2020 -0700,reverting datascience-notebook back to R 3.6.3
568708d,Darek,Fri Jun 19 00:52:51 2020 +0000,Upgrading Spark to 3.0 removing Toree
da24626,Darek,Thu Jun 18 12:47:16 2020 +0000,Upgrading miniconda to py38
1fa0d48,Tiffany A. Timbers,Wed Jun 17 20:09:25 2020 -0700,Merge branch 'master' into r4.0
04f7f60,Travis CI,Thu Jun 18 03:03:23 2020 +0000,[ci skip] Update en source strings (build: 1835.1)
ba76e28,Peter Parente,Wed Jun 17 23:01:50 2020 -0400,Merge pull request #1096 from mathbunnyru/asalikhov/ubuntu_focal
3923ac6,Peter Parente,Wed Jun 17 22:26:32 2020 -0400,Merge branch 'master' into asalikhov/ubuntu_focal
e54c5cb,ttimbers,Tue Jun 16 09:08:15 2020 -0700,added reticulate
8a57a05,ttimbers,Tue Jun 16 08:37:40 2020 -0700,removed rpy2 as it seems incompatible with r4.0
3748d0f,ttimbers,Mon Jun 15 22:58:06 2020 -0700,merging upstream changes
07fd9af,ttimbers,Mon Jun 15 22:34:37 2020 -0700,updated R here as well
f639340,ttimbers,Mon Jun 15 22:30:54 2020 -0700,reverting back to r3.6.3 for all-spark-notebook
dd2087c,Peter Parente,Mon Jun 15 08:37:57 2020 -0400,Merge pull request #1109 from mathbunnyru/asalikhov/bash_codestyle
0610908,Peter Parente,Mon Jun 15 08:37:27 2020 -0400,Merge branch 'master' into asalikhov/bash_codestyle
947a715,Peter Parente,Mon Jun 15 08:36:11 2020 -0400,Merge pull request #1108 from mathbunnyru/asalikhov/fix_yaml_codestyle
d4a632f,Ayaz Salikhov,Sat Jun 13 20:32:52 2020 +0200,Fix bash files codestyle
cf02126,Ayaz Salikhov,Sat Jun 13 20:24:39 2020 +0200,Fix yaml files codestyle
d16063e,Peter Parente,Sat Jun 13 13:26:20 2020 -0400,Merge branch 'master' into asalikhov/ubuntu_focal
c094bb7,Travis CI,Sat Jun 13 17:24:04 2020 +0000,[ci skip] Update en source strings (build: 1816.1)
1f318f4,Peter Parente,Sat Jun 13 13:22:30 2020 -0400,Merge pull request #1100 from romainx/hadolint
6c8db49,Tiffany A. Timbers,Sat Jun 6 21:32:08 2020 -0700,Update r-notebook/Dockerfile
017040d,Tiffany A. Timbers,Sat Jun 6 21:31:59 2020 -0700,Update r-notebook/Dockerfile
bc26d1a,Tiffany A. Timbers,Sat Jun 6 21:31:43 2020 -0700,Update r-notebook/Dockerfile
acc9644,Tiffany A. Timbers,Sat Jun 6 21:31:07 2020 -0700,Update all-spark-notebook/Dockerfile
a883ce1,ttimbers,Fri Jun 5 14:41:12 2020 -0700,versions and tidymodels
13059e5,ttimbers,Fri Jun 5 14:04:36 2020 -0700,removed plyr and reshape2
e47f971,Tiffany A. Timbers,Fri Jun 5 13:56:54 2020 -0700,Updated to r4.0
4d5bb32,Romain,Mon Jun 1 06:26:21 2020 +0200,New line at the end of the conf file
5e6645d,Romain,Mon Jun 1 06:23:44 2020 +0200,Ignore DL3006 and DL3008 by default
ec68cef,Ayaz Salikhov,Sun May 31 18:58:37 2020 +0200,Merge branch 'master' into asalikhov/ubuntu_focal
2ce0b49,Romain,Sat May 30 05:44:53 2020 +0200,Final review
ccc9ed3,Romain,Fri May 29 22:47:57 2020 +0200,Fix makefile
de31f9f,Romain,Fri May 29 22:04:44 2020 +0200,Travis fix
078b7d8,Romain,Fri May 29 22:00:27 2020 +0200,Travis fix ...
feb2e44,Romain,Fri May 29 21:47:13 2020 +0200,Fix lint
3f61c9c,Romain,Fri May 29 21:35:32 2020 +0200,Travis typo ...
5936989,Romain,Fri May 29 21:27:18 2020 +0200,Fixes
7b48e43,Romain,Fri May 29 19:33:24 2020 +0200,Fix hadolint deviations
64c143d,Romain,Fri May 29 18:44:45 2020 +0200,Merge branch 'master' into hadolint
76402a2,Travis CI,Fri May 29 13:13:57 2020 +0000,[ci skip] Update en source strings (build: 1781.1)
1c20450,Peter Parente,Fri May 29 09:12:34 2020 -0400,Merge branch 'master' into asalikhov/ubuntu_focal
8e8cbd0,Peter Parente,Fri May 29 09:12:23 2020 -0400,Merge pull request #1097 from mathbunnyru/asalikhov/improve_docs
8cddbac,Travis CI,Fri May 29 13:11:13 2020 +0000,[ci skip] Update en source strings (build: 1779.1)
40d2312,Peter Parente,Fri May 29 09:10:49 2020 -0400,Merge branch 'master' into asalikhov/improve_docs
8d4bff6,Peter Parente,Fri May 29 09:09:22 2020 -0400,Merge pull request #1098 from romainx/spark_doc
c83024c,Romain,Fri May 29 06:54:46 2020 +0200,Add spark notebook tests and change examples
36dc621,Romain,Thu May 28 12:34:50 2020 +0200,typo
3277f48,Romain,Thu May 28 12:26:09 2020 +0200,Follow-on PR #911: Spark documentation rework
b6d96d1,Ayaz Salikhov,Thu May 28 11:47:48 2020 +0200,Improve documentation
a2086ce,Ayaz Salikhov,Thu May 28 10:41:26 2020 +0200,Start using Ubuntu 20.04 (focal)
6f2e7cb,Romain,Thu May 28 06:29:27 2020 +0200,Linting in travis
e3558be,Romain,Thu May 28 06:24:54 2020 +0200,First lint + fix implemented
2c0af4a,Travis CI,Thu May 28 00:44:58 2020 +0000,[ci skip] Update en source strings (build: 1770.1)
f593d61,Peter Parente,Wed May 27 20:43:46 2020 -0400,Merge pull request #1095 from NickVeld/patch-2
e80f4aa,Peter Parente,Wed May 27 20:43:30 2020 -0400,Merge pull request #1094 from NickVeld/patch-1
48def68,Peter Parente,Wed May 27 20:43:18 2020 -0400,Merge branch 'master' into patch-1
fa04fea,Travis CI,Thu May 28 00:41:46 2020 +0000,[ci skip] Update en source strings (build: 1768.1)
8ac6e58,Peter Parente,Wed May 27 20:40:13 2020 -0400,Merge pull request #911 from parente/remove-mesos
ba6723e,Peter Parente,Wed May 27 16:05:31 2020 -0400,Merge branch 'master' into remove-mesos
1e36f7c,Peter Parente,Wed May 27 16:05:12 2020 -0400,Merge pull request #1093 from dirkcgrunwald/PR_jupyterlab_2113
5f413d7,NickVeld,Wed May 27 14:06:40 2020 +0300,CONTRIBUTING.md misleading link to guide
8c48791,NickVeld,Wed May 27 13:35:06 2020 +0300,doc/index.rst : more readable Issue Tracker's link on sidebar
0e899a5,Peter Parente,Tue May 26 23:14:55 2020 -0400,Merge branch 'master' into PR_jupyterlab_2113
10c9768,Peter Parente,Tue May 26 23:14:29 2020 -0400,Merge pull request #1091 from mathbunnyru/asalikhov/add_size_print
7431d6c,Peter Parente,Tue May 26 23:09:03 2020 -0400,Merge branch 'master' into remove-mesos
8ff8e2c,Dirk Grunwald,Tue May 26 21:29:32 2020 +0000,upgrade jupyterlab to 2.1.3 to avoid npm delay
9096270,Ayaz Salikhov,Tue May 26 15:07:25 2020 +0200,Print image size in manifest
02e0e2b,Ayaz Salikhov,Tue May 26 03:34:40 2020 +0200,Print image size after building it
dc57157,Peter Parente,Mon May 25 14:28:54 2020 -0400,Merge pull request #1088 from oskrdt/ppc64le
8365861,Peter Parente,Mon May 25 12:28:19 2020 -0400,Merge branch 'master' into ppc64le
bbbabd2,Peter Parente,Mon May 25 12:25:47 2020 -0400,Update comments to remove mesos references
3ccbfa0,Peter Parente,Mon May 25 12:25:38 2020 -0400,Remove mesos.key
44a7d70,Travis CI,Sat Jul 27 14:08:20 2019 -0400,Remove mesos lib from pyspark-notebook
48052e4,Travis CI,Sun May 24 13:48:17 2020 +0000,[ci skip] Update en source strings (build: 1749.1)
61fc637,Peter Parente,Sun May 24 09:47:05 2020 -0400,Merge branch 'master' into ppc64le
dd9c644,Peter Parente,Sun May 24 09:46:36 2020 -0400,Merge pull request #1078 from romainx/#1077
5519470,romainx,Thu May 21 21:28:11 2020 +0200,Fix comment
d031605,Oscar de la Torre,Wed May 20 23:40:44 2020 -0500,Merge branch 'master' into ppc64le
a27e570,Peter Parente,Wed May 20 23:29:24 2020 -0400,Merge branch 'master' into #1077
c76996e,Peter Parente,Wed May 20 23:28:22 2020 -0400,Merge pull request #1082 from mathbunnyru/asalikhov/del_tensorflow_pip_cache
5bbc94b,Peter Parente,Wed May 20 23:26:14 2020 -0400,Merge branch 'master' into asalikhov/del_tensorflow_pip_cache
43f8a93,Peter Parente,Wed May 20 23:25:55 2020 -0400,Merge branch 'master' into #1077
ea409ef,Travis CI,Thu May 21 03:25:07 2020 +0000,[ci skip] Update en source strings (build: 1737.1)
2836789,Peter Parente,Wed May 20 23:24:57 2020 -0400,Merge branch 'master' into asalikhov/del_tensorflow_pip_cache
11d87b2,Peter Parente,Wed May 20 23:23:44 2020 -0400,Merge branch 'master' into #1077
0a3f9c2,Peter Parente,Wed May 20 23:23:24 2020 -0400,Merge pull request #1068 from iancoffey/auto_sklearn
9bc523a,Oscar de la Torre,Tue May 19 16:49:10 2020 -0500,Updating code from current Dockerfile Updating miniconda version to 4.8.2
e243eeb,Ian Coffey,Fri May 15 18:03:18 2020 -0400,add --no-cache-dir to autosklearn recipe
42fff0d,Ayaz Salikhov,Fri May 15 10:20:58 2020 +0200,Upgrade Tensorflow to 2.2.0
6f8ac87,Ian Coffey,Thu May 14 10:28:57 2020 -0400,Merge branch 'master' into auto_sklearn
1a56c47,Ian Coffey,Thu May 14 10:25:18 2020 -0400,Improve formatting for autosklearn recipe
10dd74b,Ayaz Salikhov,Tue May 12 03:46:25 2020 +0200,Use pip --no-cache-dir to install tensorflow
c26781a,Romain,Tue May 5 06:34:19 2020 +0200,Merge branch 'master' into #1077
3b1f4f5,Peter Parente,Mon May 4 21:52:15 2020 -0400,Merge pull request #1065 from carstenpohllhind/regexp-centos-friendly
e10f2d1,Romain,Sun May 3 20:19:34 2020 +0200,Merge branch 'master' into #1077
c32ba3a,Peter Parente,Sun May 3 09:39:08 2020 -0400,Merge branch 'master' into regexp-centos-friendly
bfb2be7,Peter Parente,Sun May 3 09:38:12 2020 -0400,Merge pull request #1076 from romainx/update_2020_w18
7a239a1,Peter Parente,Sat May 2 22:19:39 2020 -0400,Merge branch 'master' into update_2020_w18
f9b134f,Peter Parente,Sat May 2 22:18:11 2020 -0400,Merge pull request #1075 from romainx/test_matplotlib
bcf1f53,romainx,Sat May 2 17:25:14 2020 +0200,Fix #1077
f54f36a,romainx,Wed Apr 29 12:12:53 2020 +0200,Rollback numba to 0.48
d3ef6d8,romainx,Wed Apr 29 09:16:28 2020 +0200,Regular update 2020 W18
8895bcb,Romain,Tue Apr 28 16:28:01 2020 +0200,Merge branch 'master' into test_matplotlib
4e1bcc8,romainx,Tue Apr 28 15:17:56 2020 +0200,Matplotlib tests + helpers methods
619e9cc,Travis CI,Mon Apr 27 12:03:39 2020 +0000,[ci skip] Update en source strings (build: 1693.1)
8fd7ada,Peter Parente,Mon Apr 27 08:02:04 2020 -0400,Merge pull request #1074 from jamesdbrock/patch-1
6bf8482,James Brock,Mon Apr 27 14:57:07 2020 +0900,ihaskell-notebook binder urlpath
bca0479,Travis CI,Sun Apr 26 19:36:35 2020 +0000,[ci skip] Update en source strings (build: 1690.1)
06c5cf6,Peter Parente,Sun Apr 26 15:34:55 2020 -0400,Merge pull request #1069 from mpmdean/add_pytables_bottleneck
5fc77da,Ian Coffey,Fri Apr 24 14:30:34 2020 -0400,Merge branch 'master' into auto_sklearn
7fef9cb,Mark,Thu Apr 23 12:16:19 2020 -0400,Merge branch 'master' into add_pytables_bottleneck
e0c13ce,Mark Dean,Thu Apr 23 09:19:06 2020 -0400,update docs
29f53f8,Travis CI,Thu Apr 23 11:11:21 2020 +0000,[ci skip] Update en source strings (build: 1682.1)
4e0fdb1,Peter Parente,Thu Apr 23 07:09:49 2020 -0400,Merge pull request #1070 from romainx/image_doc_fix
c0ff7e0,romainx,Thu Apr 23 09:08:17 2020 +0200,Added dask to `scipy-notebook` doc
50ce2ec,romainx,Thu Apr 23 08:30:57 2020 +0200,Selecting image doc minor fixes
e116a07,Mark Dean,Wed Apr 22 20:29:49 2020 -0400,reorder
2961406,Mark Dean,Wed Apr 22 20:18:39 2020 -0400,name mapping needed for pytables
44fbf93,Mark Dean,Wed Apr 22 19:41:41 2020 -0400,add pytables and bottleneck
2dceea0,Ian Coffey,Wed Apr 22 09:55:14 2020 -0400,add a recipe around being able to install auto_sklearn
8b4d6f6,Peter Parente,Mon Apr 20 08:04:12 2020 -0400,Merge pull request #1067 from romainx/test_improvements
584e9ab,Travis CI,Sun Apr 19 22:35:39 2020 +0000,[ci skip] Update en source strings (build: 1670.1)
edeb4ee,Peter Parente,Sun Apr 19 18:34:05 2020 -0400,Merge pull request #1059 from peterprescott/add-vim
57b78ba,Peter Parente,Sun Apr 19 12:02:35 2020 -0400,Merge branch 'master' into add-vim
730b96b,Romain,Sun Apr 19 17:34:13 2020 +0200,Merge branch 'master' into test_improvements
859aaa2,Travis CI,Sun Apr 19 15:01:05 2020 +0000,[ci skip] Update en source strings (build: 1667.1)
3cba084,Peter Parente,Sun Apr 19 10:59:34 2020 -0400,Merge pull request #1061 from romainx/recipes_fix
ac3d08c,Peter Parente,Sun Apr 19 10:57:03 2020 -0400,Merge branch 'master' into add-vim
ac657b7,Peter Parente,Sun Apr 19 10:53:28 2020 -0400,Merge pull request #1058 from romainx/bump_travis
f03d638,romainx,Sun Apr 19 10:51:20 2020 +0200,removed unnecessary import
300511e,romainx,Sun Apr 19 07:39:34 2020 +0200,Added basic tests on some important components
0710677,Carsten Pohl,Fri Apr 17 16:10:38 2020 +0200,Changed the regular expression in start.sh that reads the /etc/sudoers file and adds the conda path as a secure path to sudo.
2ebcdc5,romainx,Fri Apr 10 22:15:19 2020 +0200,#1060 Fix conda command to create env
31262fe,Peter Prescott,Tue Apr 7 09:25:13 2020 +0100,do requested edit
3378394,Peter Prescott,Tue Apr 7 09:17:58 2020 +0100,replace emacs with emacs-nox
8d918bd,Peter Prescott,Mon Apr 6 21:21:31 2020 +0100,Fix tab typo
8de5235,romainx,Mon Apr 6 19:26:58 2020 +0200,Fix a bug in the helper method
5765399,Peter Prescott,Mon Apr 6 11:05:29 2020 +0100,add vim-tiny for now
75e5862,Peter Prescott,Mon Apr 6 08:32:34 2020 +0100,add mention of vim to docs
ee3f539,Peter Prescott,Sun Apr 5 01:13:56 2020 +0100,add vim to minimal-notebook (cf. issue 779)
d458aff,romainx,Sat Apr 4 23:04:45 2020 +0200,Big upgrade
c99c6ba,romainx,Sat Apr 4 21:31:59 2020 +0200,[WIP] Trying to switch to bionic travis dist
dc97447,Peter Parente,Tue Mar 17 16:55:55 2020 -0400,Merge pull request #1047 from romainx/bump_conda
6bf5922,romainx,Tue Mar 17 20:17:52 2020 +0100,Bump miniconda -> 4.8.2
862de14,Travis CI,Tue Mar 17 11:51:18 2020 +0000,[ci skip] Update en source strings (build: 1605.1)
3c17415,Peter Parente,Tue Mar 17 07:50:18 2020 -0400,Merge pull request #1045 from raybellwaves/recipe-dask
c063aa6,Ray Bell,Mon Mar 16 23:22:26 2020 -0400,Add an image tag
323c3a0,Ray Bell,Mon Mar 16 23:16:43 2020 -0400,fix hyperlink
035067f,Ray Bell,Mon Mar 16 23:13:53 2020 -0400,Merge branch 'master' into recipe-dask
fcafc15,Ray Bell,Mon Mar 16 23:07:07 2020 -0400,Update docs/using/recipes.md
15a6651,Peter Parente,Mon Mar 16 16:29:11 2020 -0400,Merge pull request #1046 from romainx/lab_clean
073aee8,Peter Parente,Mon Mar 16 15:29:31 2020 -0400,Merge branch 'master' into lab_clean
a644bde,Peter Parente,Mon Mar 16 14:16:06 2020 -0400,Merge pull request #1044 from mpmdean/master
309453f,romainx,Sun Mar 15 06:24:56 2020 +0100,Using jupyter lab clean (#752)
9e62b3c,Ray Bell,Sat Mar 14 23:57:29 2020 -0400,recipe: dask
4a29d2b,Peter Parente,Sat Mar 14 21:11:06 2020 -0400,Merge branch 'master' into master
b782013,Peter Parente,Sat Mar 14 13:45:55 2020 -0400,Merge pull request #1037 from romainx/test_packages
7dae682,Peter Parente,Fri Mar 13 17:27:03 2020 -0400,Merge branch 'master' into test_packages
4609df0,Peter Parente,Fri Mar 13 17:25:07 2020 -0400,Merge pull request #1042 from twalcari/patch-2
da7def3,Romain,Thu Mar 12 22:03:23 2020 +0100,Merge branch 'master' into test_packages
18bf282,romainx,Thu Mar 12 22:02:44 2020 +0100,Fixed _packages_from_json
9cfdc92,Mark Dean,Thu Mar 12 16:56:56 2020 -0400,include dvipng
7b4a48e,Thijs Walcarius,Thu Mar 12 10:26:48 2020 +0100,Fix #1041: JupyterLab does not need labhub start option anymore
8882c50,Peter Parente,Wed Mar 11 14:05:58 2020 -0400,Merge pull request #1039 from mpmdean/master
046a4c3,Peter Parente,Wed Mar 11 08:06:24 2020 -0400,Loose jupyter-matplotlib pinning for consistency
14b9d78,Mark Dean,Tue Mar 10 20:02:02 2020 -0400,pin jupyter-matplotlib
80bf115,Mark Dean,Tue Mar 10 11:24:06 2020 -0400,put back instructions
607e625,Mark Dean,Tue Mar 10 11:21:27 2020 -0400,update jupyterlab and plotting extensions
fbea8a6,romainx,Mon Mar 9 20:45:27 2020 +0100,Fix a spylon_kernel forgot a test value ...
d4c746a,romainx,Mon Mar 9 20:38:27 2020 +0100,Changes according to the review
42c3d62,romainx,Sun Mar 8 10:00:32 2020 +0100,Fix doc
526ae62,romainx,Sun Mar 8 09:59:27 2020 +0100,Small fix on the package doc
7161a4c,romainx,Sun Mar 8 09:57:36 2020 +0100,Test package small refactoring
3b3f19a,romainx,Sun Mar 8 08:34:12 2020 +0100,First working version need refactoring
e255f1a,Peter Parente,Sat Mar 7 10:05:45 2020 -0500,Merge pull request #1033 from romainx/bump_ubuntu
6527150,Peter Parente,Fri Mar 6 08:11:30 2020 -0500,Merge branch 'master' into bump_ubuntu
f3da74a,Travis CI,Fri Mar 6 13:11:19 2020 +0000,[ci skip] Update en source strings (build: 1563.1)
2f7a623,Peter Parente,Fri Mar 6 08:10:21 2020 -0500,Merge pull request #1024 from romainx/conda_outdated
a5dcc35,Peter Parente,Thu Mar 5 12:20:57 2020 -0500,Merge branch 'master' into conda_outdated
3cce654,Travis CI,Thu Mar 5 12:43:13 2020 +0000,[ci skip] Update en source strings (build: 1560.1)
d3c34cd,Peter Parente,Thu Mar 5 07:42:19 2020 -0500,Merge pull request #1031 from romainx/recipes_root
9fb5cfa,Peter Parente,Thu Mar 5 07:40:12 2020 -0500,Merge branch 'master' into conda_outdated
460984e,Travis CI,Thu Mar 5 12:37:40 2020 +0000,[ci skip] Update en source strings (build: 1558.1)
a99b281,Peter Parente,Thu Mar 5 07:36:40 2020 -0500,Merge pull request #1029 from mpmdean/master
a0baf97,romainx,Wed Mar 4 19:11:24 2020 +0100,Bump Ubuntu Base Image
